date,nav_118632,nav_118834,nav_118989,nav_119092,nav_119551,nav_120503,nav_120841,nav_122639,nav_125497
2013-07-17,13.4057,12.77,17.48,25.0747,102.7023,15.3551,31.5346,10.1534,
2013-07-18,13.5266,12.91,17.67,25.0859,102.8496,15.4558,31.6192,10.2163,
2013-07-19,13.491,12.826,17.593,25.0951,102.8672,15.3425,31.6159,10.1288,
2013-07-20,13.491,12.826,17.593,25.0951,102.8672,15.3425,31.6159,10.1288,
2013-07-21,13.491,12.826,17.593,25.1088,102.8672,15.3425,31.6159,10.1288,
2013-07-22,13.4323,12.831,17.578,25.1157,102.9274,15.3172,31.5924,10.1909,
2013-07-23,13.5137,12.887,17.59,25.12,102.8344,15.3502,31.5579,10.1664,
2013-07-24,13.2616,12.687,17.291,25.0935,102.6244,15.1837,31.3712,10.0358,
2013-07-25,13.1914,12.624,17.182,25.1012,102.6991,15.0259,31.5939,9.9699,
2013-07-26,13.0735,12.553,16.995,25.109,102.7573,15.025,31.591,9.9594,
2013-07-27,13.0735,12.553,16.995,25.109,102.7573,15.025,31.591,9.9594,
2013-07-28,13.0735,12.553,16.995,25.1236,102.7573,15.025,31.591,9.9594,
2013-07-29,13.0033,12.468,16.843,25.131,102.8554,14.9306,31.5584,9.8913,
2013-07-30,12.7471,12.217,16.584,25.1385,102.8875,14.806,31.5287,9.8424,
2013-07-31,12.9014,12.257,16.536,25.146,102.9055,14.7567,31.463,9.7726,
2013-08-01,12.766,12.133,16.42,25.1536,102.9596,14.7515,31.5515,9.7877,
2013-08-02,12.6617,12.073,16.326,25.1607,103.0101,14.6639,31.5368,9.8152,
2013-08-03,12.6617,12.073,16.326,25.1607,103.0101,14.6639,31.5368,9.8152,
2013-08-04,12.6617,12.073,16.326,25.1748,103.0101,14.6639,31.5368,9.8152,
2013-08-05,12.7128,12.094,16.294,25.1832,103.1389,14.6753,31.5483,9.7889,
2013-08-06,12.3588,11.836,15.967,25.1904,103.1471,14.3633,31.5344,9.6794,
2013-08-07,12.4816,11.865,16.042,25.1974,103.1785,14.2345,31.5634,9.6912,
2013-08-08,12.7214,12.032,16.176,25.2051,103.2116,14.3894,31.6269,9.8041,
2013-08-09,12.7214,12.032,16.176,25.2051,103.2116,14.3894,31.6269,9.8041,
2013-08-10,12.7214,12.032,16.176,25.2051,103.2116,14.3894,31.6269,9.8041,
2013-08-11,12.7214,12.032,16.176,25.2278,103.2116,14.3894,31.6269,9.8041,
2013-08-12,12.8515,12.243,16.398,25.2342,103.2958,14.5806,31.6104,9.8993,
2013-08-13,13.0239,12.399,16.605,25.2414,103.3152,14.7677,31.6179,9.9669,
2013-08-14,13.0848,12.562,16.717,25.2486,103.364,14.803,31.5721,9.9589,
2013-08-15,13.0848,12.562,16.717,25.2559,103.364,14.803,31.5721,9.9589,
2013-08-16,12.6349,12.218,16.304,25.263,103.1558,14.3818,31.4561,9.8359,
2013-08-17,12.6349,12.218,16.304,25.263,103.1558,14.3818,31.4561,9.8359,
2013-08-18,12.6349,12.218,16.304,25.2777,103.1558,14.3818,31.4561,9.8359,
2013-08-19,12.4366,11.97,15.99,25.2847,103.207,14.102,31.2745,9.7064,
2013-08-20,12.4137,11.873,15.915,25.2918,103.2086,13.9956,31.2916,9.7127,
2013-08-21,12.2191,11.739,15.775,25.2993,103.3135,13.8249,31.4778,9.6923,
2013-08-22,12.424,11.801,15.792,25.3066,103.3345,13.8944,31.477,9.7025,
2013-08-23,12.5759,11.976,15.918,25.3141,103.3768,14.066,31.5853,9.7798,
2013-08-24,12.5759,11.976,15.918,25.3141,103.3768,14.066,31.5853,9.7798,
2013-08-25,12.5759,11.976,15.918,25.3289,103.3768,14.066,31.5853,9.7798,
2013-08-26,12.6806,12.038,15.97,25.3361,103.4776,14.1695,31.5711,9.7569,
2013-08-27,12.2979,11.743,15.672,25.3433,103.4881,13.7614,31.403,9.6567,
2013-08-28,12.2443,11.574,15.507,25.3507,103.4713,13.6318,31.3056,9.6251,
2013-08-29,12.4848,11.792,15.699,25.3581,103.1588,13.8991,31.3412,9.649,
2013-08-30,12.6214,11.839,15.817,25.3659,103.214,14.1497,31.4007,9.6451,
2013-08-31,12.6214,11.839,15.817,25.3659,103.214,14.1497,31.4007,9.6451,
2013-09-01,12.6214,11.839,15.817,25.3804,103.214,14.1497,31.4007,9.6451,
2013-09-02,12.794,11.933,16.012,25.3877,103.3253,14.2365,31.5122,9.7168,
2013-09-03,12.3669,11.713,15.736,25.3949,103.3815,13.9014,31.4503,9.657,
2013-09-04,12.564,11.887,15.97,25.403,103.4408,14.0106,31.5182,9.6588,
2013-09-05,12.8133,12.137,16.258,25.4121,103.5445,14.3129,31.6593,9.7591,
2013-09-06,12.9802,12.229,16.299,25.4198,103.5778,14.4284,31.6505,9.7627,
2013-09-07,12.9802,12.229,16.299,25.4198,103.5778,14.4284,31.6505,9.7627,
2013-09-08,12.9802,12.229,16.299,25.4198,103.5778,14.4284,31.6505,9.7627,
